province,date,cpi
NL,2023-05,158.5
NL,2023-06,158.9
NL,2023-07,159.8
NL,2023-08,161
NL,2023-09,160.8
NL,2023-10,160.2
NL,2023-11,160.1
NL,2023-12,159.8
NL,2024-01,159.8
NL,2024-02,160.6
NL,2024-03,161.9
NL,2024-04,162.4
NL,2024-05,162.7
NL,2024-06,162.5
NL,2024-07,163.1
NL,2024-08,163.1
NL,2024-09,161.9
NL,2024-10,161.9
NL,2024-11,162.1
NL,2024-12,160.7
NL,2025-01,161
NL,2025-02,162.5
NL,2025-03,163.6
NL,2025-04,163
NL,2025-05,163.5
NL,2025-06,164.4
NL,2025-07,165.7
NL,2025-08,165.3
NS,2010-01,116.9
NS,2010-02,116.9
NS,2010-03,117.7
NS,2010-04,117.9
NS,2010-05,117.8
NS,2010-06,117.3
NS,2010-07,118.6
NS,2010-08,118.7
NS,2010-09,118.8
NS,2010-10,119.3
NS,2010-11,119.6
NS,2010-12,119.4
NS,2011-01,120.4
NS,2011-02,120.9
NS,2011-03,122.3
NS,2011-04,122.9
NS,2011-05,123.2
NS,2011-06,122.5
NS,2011-07,122.8
NS,2011-08,123.2
NS,2011-09,123.8
NS,2011-10,123.9
NS,2011-11,124
NS,2011-12,122.7
NS,2012-01,123.7
NS,2012-02,124.3
NS,2012-03,125.3
NS,2012-04,126.1
NS,2012-05,125.6
NS,2012-06,124.8
NS,2012-07,124.5
NS,2012-08,125
NS,2012-09,125.7
NS,2012-10,125.6
NS,2012-11,125.5
NS,2012-12,124.9
NS,2013-01,125.4
NS,2013-02,126.7
NS,2013-03,126.7
NS,2013-04,126.8
NS,2013-05,126.4
NS,2013-06,126.4
NS,2013-07,126.4
NS,2013-08,126.6
NS,2013-09,127.3
NS,2013-10,126.7
NS,2013-11,126.7
NS,2013-12,126.7
NS,2014-01,127.4
NS,2014-02,128.4
NS,2014-03,128.9
NS,2014-04,129.1
NS,2014-05,129.5
NS,2014-06,129.2
NS,2014-07,128.9
NS,2014-08,129
NS,2014-09,129.5
NS,2014-10,129.4
NS,2014-11,128.6
NS,2014-12,127.4
NS,2015-01,126.9
NS,2015-02,128
NS,2015-03,129.6
NS,2015-04,129.5
NS,2015-05,130.2
NS,2015-06,130.2
NS,2015-07,130.1
NS,2015-08,130
NS,2015-09,129.5
NS,2015-10,129.8
NS,2015-11,129.2
NS,2015-12,128.9
NS,2016-01,129.4
NS,2016-02,129.6
NS,2016-03,130.1
NS,2016-04,131
NS,2016-05,131.6
NS,2016-06,131.8
NS,2016-07,131.2
NS,2016-08,131.2
NS,2016-09,131.6
NS,2016-10,131.6
NS,2016-11,130.9
NS,2016-12,130.6
NS,2017-01,131.7
NS,2017-02,131.4
NS,2017-03,131.8
NS,2017-04,132
NS,2017-05,132.2
NS,2017-06,132.4
NS,2017-07,132.4
NS,2017-08,132.6
NS,2017-09,133.3
NS,2017-10,132.8
NS,2017-11,133.2
NS,2017-12,132.8
NS,2018-01,133.5
NS,2018-02,134.4
NS,2018-03,135
NS,2018-04,135.7
NS,2018-05,135.2
NS,2018-06,135.3
NS,2018-07,136
NS,2018-08,136.2
NS,2018-09,135.5
NS,2018-10,136.6
NS,2018-11,135.6
NS,2018-12,134.9
NS,2019-01,135
NS,2019-02,135.7
